timestamp,x_RIGHT_SHOULDER,y_RIGHT_SHOULDER,z_RIGHT_SHOULDER,x_RIGHT_ELBOW,y_RIGHT_ELBOW,z_RIGHT_ELBOW,x_RIGHT_WRIST,y_RIGHT_WRIST,z_RIGHT_WRIST,x_RIGHT_HIP,y_RIGHT_HIP,z_RIGHT_HIP,choreo_results,choreo_pulse,choreo_push,choreo_regular,choreo_sexy_corners,prompts_pulse,prompts_push,prompts_regular,prompts_sexy_corners,angle_RIGHT_SHOULDER,angle_RIGHT_ELBOW
0.02,0.462078183889389,0.3862231075763702,-0.0447519123554229,0.4418584704399109,0.4650394320487976,-0.0643998309969902,0.4188548922538757,0.508430004119873,-0.163661390542984,0.4762275815010071,0.557246208190918,0.0097762690857052,0,0,0,1,0,0,0,1,0,152.76,44.5
0.03,0.4618735313415527,0.3847269713878631,-0.0445231385529041,0.4422539174556732,0.4625866711139679,-0.0645683705806732,0.4194241464138031,0.5055921077728271,-0.1659141778945922,0.4757437109947204,0.5532470941543579,0.0089457416906952,0,0,0,1,0,0,0,1,0,153.95,50.45
0.05,0.4615165591239929,0.384321928024292,-0.0341678038239479,0.4422637522220611,0.4616987407207489,-0.0546352751553058,0.4195728302001953,0.5048487186431885,-0.1555484682321548,0.475172758102417,0.551551103591919,0.0071446821093559,0,0,0,1,0,0,0,1,0,148.03,43.54
0.07,0.4609754681587219,0.3809066712856293,-0.030757337808609,0.4422627091407776,0.4600533246994018,-0.054803442209959,0.4198464751243591,0.5038186311721802,-0.1565956026315689,0.4742613434791565,0.5502493381500244,0.009146655909717,0,0,0,1,0,0,0,1,0,148.44,42.76
0.08,0.4607488512992859,0.3789376020431518,-0.026508891955018,0.4425410628318786,0.4578266143798828,-0.0525443777441978,0.4204444289207458,0.5023293495178223,-0.1573780924081802,0.4740087389945984,0.5485820174217224,0.0092864073812961,0,0,0,1,0,0,0,1,0,141.4,41.04
0.1,0.4605030417442322,0.3710069060325622,-0.0270153619349002,0.4428825974464416,0.4520972371101379,-0.0635602921247482,0.42062908411026,0.5013242363929749,-0.1738795489072799,0.4739915430545807,0.5413888096809387,0.008913055062294,0,0,0,1,0,0,0,1,0,140.95,40.6
0.12,0.4602828621864319,0.3691853284835815,-0.0273848176002502,0.4429152607917785,0.4510130882263183,-0.0635479539632797,0.4205655455589294,0.5014563202857971,-0.1711015105247497,0.4740158021450043,0.5411778688430786,0.0083305872976779,0,0,0,1,0,0,0,1,0,133.52,35.26
0.13,0.4594375491142273,0.3643034100532532,-0.0301623456180095,0.4425331950187683,0.4484684467315674,-0.0633124038577079,0.4190742075443268,0.5015938878059387,-0.1699922978878021,0.4733954071998596,0.5406156182289124,0.0062910830602049,0,0,0,1,0,0,0,1,0,128.91,31.35
0.15,0.4593490064144134,0.361414760351181,-0.0267019812017679,0.4426047801971435,0.444696307182312,-0.0542132183909416,0.4190900325775146,0.5006791353225708,-0.1550918221473693,0.4730998575687408,0.5372567772865295,0.0017774278530851,0,0,0,1,0,0,0,1,0,126.19,18.53
0.17,0.4586329460144043,0.3584339022636413,-0.0285835415124893,0.442042589187622,0.4428166151046753,-0.0552075207233428,0.4187740683555603,0.5008033514022827,-0.1541562676429748,0.4716281294822693,0.5336787104606628,-0.0001044657692546,0,0,0,1,0,0,0,1,0,137.12,29.27
