timestamp,y_RIGHT_HEEL,beat_times,time_diff,speed_result
0.52,0.86546790599823,0.78,0.26,Very precise
0.98,0.7247854471206665,1.49,0.51,On beat
1.37,0.8071786761283875,2.1,0.73,Slow down a little
2.04,0.6706499457359314,2.69,0.65,On beat
1.6,0.8655703067779541,3.31,1.71,Wayyy too fast!
3.42,0.710910975933075,3.91,0.49,Very precise
4.4,0.6837127208709717,4.52,0.12,Very precise
2.69,0.8719584941864014,5.12,2.43,Wayyy too fast!
5.61,0.6998738050460815,5.72,0.11,Very precise
3.9,0.8665763735771179,6.33,2.43,Wayyy too fast!
6.82,0.6728973388671875,6.94,0.12,Very precise
5.09,0.8662244081497192,7.53,2.44,Wayyy too fast!
6.21,0.8706735372543335,8.15,1.94,Wayyy too fast!
7.99,0.6861688494682312,8.75,0.76,Slow down a little
9.23,0.6881837248802185,9.36,0.13,Very precise
7.46,0.8720664381980896,9.96,2.5,Wayyy too fast!
10.43,0.6609137058258057,10.57,0.14,Very precise
8.69,0.8650199770927429,11.17,2.48,Wayyy too fast!
11.54,0.7001201510429382,11.78,0.24,Very precise
9.94,0.8656684160232544,12.38,2.44,Wayyy too fast!
11.08,0.8685776591300964,12.98,1.9,Wayyy too fast!
12.86,0.6772661209106445,13.6,0.74,Slow down a little
12.26,0.8676550388336182,14.2,1.94,Wayyy too fast!
14.11,0.7029078602790833,14.8,0.69,On beat
13.58,0.8652616143226624,15.42,1.84,Wayyy too fast!
15.27,0.6699656248092651,16.01,0.74,Slow down a little
16.57,0.7087396383285522,16.63,0.06,Very precise
14.73,0.8667593002319336,17.23,2.5,Wayyy too fast!
17.9,0.7089080214500427,17.83,-0.07,Very precise
15.97,0.8673577308654785,18.44,2.47,Wayyy too fast!
18.92,0.7085241079330444,19.05,0.13,Very precise
16.03,0.8623404502868652,19.64,3.61,Wayyy too fast!
20.22,0.660413920879364,20.26,0.04,Very precise
26.84,0.8623404502868652,20.86,-5.98,Wayyy too slow!
21.39,0.6355174779891968,21.49,0.1,Very precise
17.2,0.864980161190033,22.08,4.88,Wayyy too fast!
22.62,0.7003622055053711,22.69,0.07,Very precise
18.42,0.8658331036567688,23.29,4.87,Wayyy too fast!
23.81,0.7103103399276733,23.9,0.09,Very precise
19.59,0.8687721490859985,24.51,4.92,Wayyy too fast!
20.84,0.8663788437843323,25.11,4.27,Wayyy too fast!
25.02,0.6382220387458801,25.72,0.7,On beat
26.24,0.7169621586799622,26.33,0.09,Very precise
22.07,0.8654478192329407,26.94,4.87,Wayyy too fast!
27.46,0.6704842448234558,27.54,0.08,Very precise
23.27,0.8647983074188232,28.14,4.87,Wayyy too fast!
28.65,0.6649386882781982,28.76,0.11,Very precise
24.44,0.8660373091697693,29.34,4.9,Wayyy too fast!
29.85,0.6553102731704712,29.97,0.12,Very precise
25.68,0.8705161809921265,30.57,4.89,Wayyy too fast!
31.08,0.7188481092453003,31.18,0.1,Very precise
28.09,0.8659268617630005,31.78,3.69,Wayyy too fast!
32.28,0.647736132144928,32.39,0.11,Very precise
29.25,0.8703358173370361,32.98,3.73,Wayyy too fast!
33.52,0.6712616682052612,33.6,0.08,Very precise
30.48,0.8685587644577026,34.2,3.72,Wayyy too fast!
31.78,0.8616507053375244,34.82,3.04,Wayyy too fast!
34.65,0.6373803019523621,35.41,0.76,Slow down a little
36.0,0.7180150151252747,36.03,0.03,Very precise
32.93,0.8675477504730225,36.62,3.69,Wayyy too fast!
37.1,0.641912043094635,37.23,0.13,Very precise
34.13,0.8662872910499573,37.84,3.71,Wayyy too fast!
38.3,0.6986216902732849,38.44,0.14,Very precise
0.83,0.8525724411010742,0.79,-0.04,Very precise
1.42,0.6233505010604858,1.52,0.1,Very precise
2.1,0.8544749617576599,2.12,0.02,Very precise
2.59,0.5720579028129578,2.73,0.14,Very precise
3.37,0.8581319451332092,3.33,-0.04,Very precise
3.8,0.629224419593811,3.94,0.14,Very precise
4.59,0.8567219376564026,4.55,-0.04,Very precise
5.07,0.568993866443634,5.15,0.08,Very precise
5.84,0.857654333114624,5.76,-0.08,Very precise
6.27,0.5766759514808655,6.36,0.09,Very precise
6.96,0.8560247421264648,6.98,0.02,Very precise
7.47,0.5857243537902832,7.57,0.1,Very precise
8.14,0.855476438999176,8.17,0.03,Very precise
8.68,0.5887117385864258,8.78,0.1,Very precise
9.43,0.8538289666175842,9.39,-0.04,Very precise
9.96,0.6154384613037109,10.0,0.04,Very precise
10.63,0.8612335920333862,10.6,-0.03,Very precise
10.99,0.5762032866477966,11.2,0.21,Very precise
12.23,0.6443955898284912,11.82,-0.41,Very precise
11.71,0.8583791851997375,12.41,0.7,On beat
13.45,0.5833039879798889,13.01,-0.44,Very precise
12.96,0.8581284284591675,13.62,0.66,On beat
14.63,0.5580472946166992,14.23,-0.4,Very precise
14.26,0.8500990867614746,14.84,0.58,On beat
15.38,0.8538122177124023,15.44,0.06,Very precise
15.97,0.6317030787467957,16.04,0.07,Very precise
16.63,0.8560961484909058,16.65,0.02,Very precise
17.12,0.5606456995010376,17.25,0.13,Very precise
18.3,0.5907889604568481,17.87,-0.43,Very precise
17.83,0.856243908405304,18.47,0.64,On beat
19.54,0.577173113822937,19.08,-0.46,Very precise
19.09,0.8534623980522156,19.67,0.58,On beat
20.79,0.5925952196121216,20.28,-0.51,On beat
20.22,0.8544878363609314,20.9,0.68,On beat
21.49,0.8568544983863831,21.51,0.02,Very precise
21.91,0.6791934370994568,22.11,0.2,Very precise
23.22,0.5748250484466553,22.71,-0.51,On beat
